用户id,用户名,用户头像,发布时间,性别,账户类型,是否机构号,粉丝数量,点赞数量,评论数,回答内容,影响力
94bb9b669dc868149830bd360dd79ff0,zion,https://picx.zhimg.com/v2-38fcb446ccb64b7010e99a5df27dec0d.jpg?source=1940ef5c,2022/12/14,男,people,FALSE,428,9,2,如果不买就要牵牛扒房，那就买吧，否则不买。,1.8314288
a79c3bb27a9ab2f647671273a736b16c,love道,https://picx.zhimg.com/v2-c41a1891868afc0b4a47779db7fffe01.jpg?source=1940ef5c,2022/12/8,女,people,FALSE,131,9,2,我只知道，养老金很早有些地区就不够发了！好像是东北！然后就出了一个统筹，也就是把富裕地区的挪一部分发给没钱发的地区！但是仅仅如此也无法满足越来越大的黑洞，所以国有企业股权也划拨了10%给社保！对了，企业年金听说过吗？前几年悄然就有了，说是对养老金的补充！现在又出了一个个人养老金，上限1.2万每年！我看，养老金本身的问题就是投资收益跟支出不成比例，连续多年的退休工资上涨，并不是养老金本身的投资收益增加的结果！这无形加大了社保收支空间！而且目前延迟退休一直没有正式下文！那么你个人养老金到底多少岁可以领？这都是个问题！今天告诉你60岁退休领，那后面改成65岁退休了呢？这个问题你是看不到的！很多开始的算计都随着变化让预期的结果变的面目全非！        社保，本质就是保险，你在买商业保险的时候，就是一个合约！比如5年后开始反钱，但是到第四年了，他说要10年后才给你反钱！你能同意吗？这个本质其实就是违约了！你可能会起诉他的！          如果有需要，当然应该为自己老了以后做打算！每年最多1.2万！但是这个中途可是真取不出来的！所以要想好未来可能面临的变化！做好自己的打算！,1.826659966
a9736e7c569f057d14ec2debd358c304,专心保,https://picx.zhimg.com/v2-3f56fd32dc91f356df20d12a3c4fc9da.jpg?source=1940ef5c,2022/11/4,未知,people,TRUE,21027,6,0,其实，咱们结合今年9月27日，国务院常务委员会对于个人养老金的税收优惠内容：可以看出，一场由“国家牵头，全民储备养老金”的无声战役，正式拉开序幕。就着这个机会，今天咱就来聊聊个人养老金制度背后的真相，以及对普通人有何影响。事关每个人的老年生活，耐心看完，会有收获。一、我国的三大养老体系在进入正题前，先带大家认识一下，咱们国家的养老模式。见下图：其中，第一支柱，基本养老保险。也就是我们熟知的社保，覆盖大约 10 亿人。2008 年咱们国家养老金领取人数不到 5000 万人，现在已经超过 1.3 亿人。引用国家卫健委在今年 9 月 20 日召开的发布会推测：到了 2035 年左右，我国 60 岁及以上的老年人口，将会占到总人口的 30% 以上，进入重度老龄化阶段。像青海、湖北、黑龙江、辽宁等省份，甚至已经出现了收不抵支的情况。社保见红，已经不是什么秘密了。虽然退休后能领到养老金，但它也只能提供最基础的生活保障。来到第二支柱，企业年金和职业年金。缴纳模式是，个人出小头，企业出大头。可现实情况是，通常只有福利好的单位，比如央企、国企等，才会给员工买企业年金或职业年金。这部分人，仅占全国人口的 4% 。还有一条路子，倒是可以搏一搏，也许单车能变摩托。那就是进大厂。福利虽不至央企、国企，但咱到手的工资多啊。不过扪心自问一下，咱有这个实力吗？承认自己普通不难，但就是不想承认。那好，老大老二靠不住，那就从第三支柱找出路。这次国家出台的个人养老金个税优惠政策，就属于第三支柱。也是今天的主角。二、个人养老金制度是什么？有啥用呢？接下来的内容，还请打起十二分精神。时间还得拨回至今年4月份，国家发布的《推动个人养老金发展的意见》这份文件说起。备受大家关注的个人养老金制度登上历史舞台，也算是给各位吃了个“定心丸”：国家要大力发展第三支柱。不过其实早在 2018 年，有一股先头部队打头阵，国家已经开始小范围实施个人税收递延型商业养老保险试点。那会儿不敢大张旗鼓，仅在：上海市、福建省（含厦门市）和苏州工业园区。三个省市区小范围走走看，试点时间为期一年。那这个人养老金到底是啥？简单来说，个人养老金就是在我们已有的社保养老之外，国家鼓励大家再开一个账户。自己往里交钱，钱完全属于自己，全凭自愿。不过，现在《办法》规定，参加人每年缴纳个人养老金额度上限为12000元。存在里面的钱，可以买国家筛选后的金融产品。比如银行理财、商业养?保险、公募基?等等，这样以后退休了，咱们就能领到两份养老金。蚊子再小也是肉。如果我们本身就打算购买养老金、银行理财等金融产品，现在还能拿去抵税。落了个一举两得，挺不错。当然，虽说是国家鼓励，但也并非谁都能开这个账户。首要条件是，只有交了职工养老保险，或者居民养老保险的人，才能买个人养老金。换言之，没交的话，就买不了。并且，已经退休且已领取基本养老保险待遇的，也不能买。想买还得趁早。买了有啥好处呢？那就是享受国家税收优惠，能少交点税。稳定增值，安全性较高，毕竟是国家筛选出来的产品。更重要的是，如前面所说，退休了，咱们能领到两份养老金。搞懂了什么是个人养老金，接下来就可以来看看，这次出台的优惠政策，到底有什么吸引力。三、个人养老金的优惠力度有多大？先讲第一个数字：3% 。领取收入实际税负由税率 7.5% 降至 3% 。这是个人养老金制度建设迈出的关键一步。此前的政策，如果继续按税率 7.5% 执行，那这个政策对于个人所得税税率 10%（也就是月收入 8000 ～ 17000 元）的参保人群意义不大；对于个人所得税税率 3%（也就是月收入 5000 ～ 8000 元）的参保人群，甚至会出现领取期税率与当期税率倒挂。这谁还买啊。而税率降低至 3% 后，对于月收入 5000 元以上群体（也是绝大多数群体），无论是看重税前扣除的中青年，还是看重免税投资收益的财富人群，都将在参与上会有更大的积极性。举个例子， 专女士每年扣除五险一金、扣除项目后收入是 20 万，个税起征点目前是6万/年，如果正常情况下，每年要交的个税为：（20万-6万） ×10%-2520=11480元；如果有个人养老金税收优惠，每年要交的个税为：(20万-6万-1.2万)×10%-2520=10280元。也就是说，专女士一年可以省下1200元的税费。收入越高，减少的税费越多。第二个数字：12000 元。这 12000 元是税前抵扣的上限额度，即每年拿来抵税，最多只能抵扣 12000 元。当然，也不排除后续会做相应调整。具体怎么调整，调整到多少，专心君会持续关注，并及时将最新信息同步给大家。这两年，国家接二连三出台各种养老政策，显然是意识到事态不对劲。尤其是个人养老金的步子，迈得最快。那这个政策对我们个人理财有什么启发？思来想去，我想主要有两点：PS：个人拙见，水平有限，欢迎文末留言交流讨论。1、鼓励年轻人攒钱比如这个养老金制度。什么时候可以领钱？来看看文件是怎么说的：到达退休年龄；完全丧失劳动能力；出国出境定居。倒也好理解，毕竟中途如果大家都把钱取走了，那老了可就没钱能领了。也就失去了保障晚年生活的作用。不过，相对于商业养老保险，个人养老金领取的条件限制较多一些，既不能随意支取，领取方式一旦确定，也无法更改。而商业养老保险提取方式更灵活，一般可以通过减保、退保来提取钱出来用，领取方式也灵活自选。2、鼓励年轻人补充商业保险前面所讲的第三支柱（商业养老保险、个人养老金）、下方优惠政策，以及享受税收政策，便是很好的佐证。具体到实际怎么做？那就是国家带着我们理财，筛选稳健靠谱的产品。这总比理财小白瞎买强一点。像太平洋人寿、泰康人寿、中国人寿等世界 500 强险企，其实从去年开始，就已经陆陆续续推出了一些专属商业养老保险。还是蛮香的。写在最后个人养老金政策优惠的出台，虽然短时间内并不能让大家以后的退休生活，立马从“咸菜馒头”升级成“大鱼大肉”。毕竟作用有限。但起码让我们看到，国家为了解决养老问题，做了一些事情。还是那句话，想要体面养老，那就学会未雨绸缪。养老年金险、增额终身寿等等，都是不错的选择，不仅安全，也能实现稳定增值。若觉得我的回答对你有所帮助，希望点个赞、收藏鼓励一下。如果你还是不知道怎么挑选到更好的养老产品，或者想定制适合自己的养老方案，可以随时找我咨询。关注 @专心保，让你随时掌握市场最新保险解读，欢迎将本文分享给有需要的朋友。---》请查收2022最新保险干货《---【养老保险推荐】年金险是什么？解答9大常见问题+挑选攻略+产品推荐增额终身寿险可靠吗？怎么买才划算？2022年高收益产品都在这了！大家养多多2号养老年金险：收益领更多，最快今年交完，明年就能领钱！【2022超全榜单】2022重疾险/医疗险/意外险/定期寿险深度测评，值得买的4款新品全在这里了！【健康险-深度测评】重疾险：2022重疾险购买攻略+55款热门产品深度测评！医疗险：深度测评29款热门百万医疗险，选出5款TOP性价比推荐产品！寿险：寿险怎么买？2022保姆级寿险挑选教程?我是专心保险经纪，已获得小米集团近亿元投资；专注于为客户提供一对一保险规划服务（包括方案制定、协助投保和理赔）等全流程服务。 从投保和售后都做你坚实的后盾！?私人保险方案、保险问题解答 @专心保,1.824984681
4e89c5ea7df29e51cfefeb3944b5248c,jack,https://pica.zhimg.com/v2-abed1a8c04700ba7d72b45195223e0ff.jpg?source=1940ef5c,2022/12/9,未知,people,FALSE,491,10,0,美国两年躺平，人均寿命减少三岁。我们人均寿命目前76。现在已经放开躺平。我权当中国人身体是百毒不侵，个顶个天神下凡，躺平后人均寿命一点没下滑。现在30岁出头这帮人，你知道什么时候退休么？目前说是65，但等你们退休的时候呢？70有没有可能。日本人均寿命天下第一，人富了这么多年，也就人均83。三四十年后，中国能有日本现在的人均社会福利？预期寿命能到83？再来个新冠反复感染。缴NM的养老！以后人人都是二极管，要么投资自己飞黄腾达，要么家中等死，再来极端一点，犯点什么事，狱中养老。信我，普通人，什么利益大，选什么。现在没这么选，只是他们还没算明白这个账。,1.81630573
92c8752ba61fdfce4c8b51d3124c1f25,国学女先生,https://pic1.zhimg.com/v2-99d37aa94d86fe828dcf3a1f7131a2b6.jpg?source=1940ef5c,2022/12/13,女,people,FALSE,386,10,0,30岁按理该存养老金，但是，有多少人存得起呢？个人养老金制度落地对很多年轻人来说是好事，每年最高缴费金额12000元，在缴纳的时候是可以享受税收优惠，可以用来抵扣相应的个人所得税。制度是很好，但是在现在就业困难，工资缩水，生活成本增高的情况下，很多年轻人生活亚历山大，基本属于月光族，有的甚至工资不足以支持个人支出，还需要父母每月贴补；还有更多的年轻人属于婚龄阶段，购房压力巨大，银行贷款、透支信用卡现象普遍，这些人哪里有闲钱去缴个人养老金呢。不过对于有不懂节约，超前消费的年轻人，这是一个很好的强制储蓄好方法。值得使用。,1.814596703
9d9c01300de575b746c783860b1dc92e,梵高先生,https://picx.zhimg.com/v2-abed1a8c04700ba7d72b45195223e0ff.jpg?source=1940ef5c,2022/12/5,未知,people,FALSE,1,10,0,作为80后，我想做的就是积极纳税，为社会主义做贡献，想要我合理避税是不可能的，国家公务员队伍那么庞大，他们的温饱时刻记在我的心上。关于个人养老，还是我自己花自己的吧，以后要领这部分钱还要麻烦我们的相关人员办手续，浪费国家行政资源。所以我还是先干30年把基本养老交齐了看能不能领钱，看有没有人骗我。,1.808305164
799f801c3832109edf2733e7ed6cd173,天府胖书生,https://pic1.zhimg.com/v2-3ed66c3ddbd27ccc1863811b61fa987a.jpg?source=1940ef5c,2022/11/4,未知,people,FALSE,232,2,13,只问一个问题，一年足额买12000，能抵多少个税？,1.79561868
46c90913f2b9249e582b407d4c7755bc,谷雨,https://picx.zhimg.com/v2-29b5d817724067f1754aa026ec40f465.jpg?source=1940ef5c,2022/11/6,男,people,FALSE,4194,9,0,如果我要买菜，我肯定先挑自己爱吃的。如果我要装修，我肯定先选自己喜欢的。如果我要修路，肯定先修自家门口的路。如果叫我来制定政策，那肯定要先考虑有利于我家的方案。,1.794987587
9af6f6ab1edd89104272ae327d41d148,大象无形,https://picx.zhimg.com/v2-efa4e7916a87b2059813b9d0c7e2de08.jpg?source=1940ef5c,2022/12/17,男,people,FALSE,62,8,3,说实话意义不大。中国的个人养老金基本就是照抄美国的IRA个人养老金制度，都是对基本养老金制度（第一支柱）的补充，所以称第三支柱，本意是想缓解中国当前越来越大的社保支出压力。但问题出在哪儿呢？个人养老金制度其实说白了就是强制储蓄，政府给点税收补贴，还不敢给多了，否则又会成为社会财富向富人倾斜的“恶法”。这个强制储蓄政策对美国很有效果，现在基本成了美国养老体系的重要支柱了，原因就在于美国人平时是真不留余钱啊，都喜欢超前消费，在这样的背景下，个人养老金在美国还真就起了很大的社保补充效果。但中国是什么情况？这种强制储蓄对中国老百姓是必须且必要的吗？不要忘了，中国本身就是居民储蓄率在全球位居前列的国家，这是我们跟美国完全不同的地方。出发点不同，要想取得相同的效果，怎么看都不会有好的结果。在中国这个本身居民储蓄率就很高的国家，个人养老金这种不痛不痒、还没有流动性的强制储蓄，完全看不到有什么吸引力。最后，我们再来算一笔账，每年交满12000，30年后退休可以拿到多少钱？按官方的算法，30年共计缴费36万，按照每年投资收益3%的收益率来算，到退休后本息总收益达到57万左右。看上去是不是还行？无论是退休后一次性领取还是分月领取，好像都还过的去。但你真这么认为，恐怕会很失望。我们不妨换个思路，倒推来看。假设个人养老金30年前就实行了，每年也交了12000，到今天终于你退休圆满了，个人养老金账户也如上面推论到了57万，有这一笔钱，再加上基础的社保，很不错吧，完全养老无忧啊！但你发现什么问题了吗？是的，要达到57万个人养老金这个额度，你要付出什么代价？你要在30年前每年给养老金账户上交12000。30年前也就是1992年，一年12000什么概念？不清楚的可以问问自己的父母，绝大部分人当时月收入不过500元的水平，你交的起每月1200吗？问题出在哪里？其实里面关键就是通货膨胀率。社保跟个人养老金有一个大家容易忽略的差异，那就是社保是可以跟上通货膨胀率的，因为它的发放是依据上一年度当地社平工资做基数的，而个人养老金呢？完全没有这样的制度安排，按银行储蓄率买完全跑输通胀率，买基金个人自负盈亏，输赢看天。以中国股市十数年维持3000点的尿性，你能指望它带你跑赢通胀？,1.792792269
a958846f6aa4d899f4ce55b41f2094a4,郭艳萍,https://pica.zhimg.com/v2-a7178e440203b03618560f2d2c2ef453.jpg?source=1940ef5c,2022/12/4,女,people,FALSE,14,5,8,一、有必要买吗？答案是：看个人。说实话，本人已经开通了个人养老金账户。但是，暂时不打算往里面转钱。为什么？很简单。本人已经手持两份终身领取的商业养老金保单，外加一份增额终身寿保单。未来，本人还将继续增持商业养老年金险保单。12000元/年的个人养老金账户，于本人而言，可有，亦可无。所以：看下你的个人情况，是否有足够的优质不动产、金融资产、无形资产等一切能够转化成——终身现！金！流！的工具如有，那么12000元/年对你来说意义不大。买，可以锦上添花，省点税钱；不买，对你影响也不大如果除了不过万的月薪以外，没有终身现金流工具，那还是老老实实听话吧，存总比不存好不过要做好心理准备，这笔钱一旦进去，短期是出不来的。二、会亏本吗？个人养老金账户有四种金融产品可供选择：银行储蓄、理财产品、公募基金、养老保险产品其中，理论上有两类可以保本：银行储蓄和保险；另两类不承诺保本：理财产品和公募基金所以亏不亏本，看你追求什么想绝对的安全，一点风险都不要，那就选择银行储蓄或保险；既想要安全又要收益，可以承受本金可能为负的风险，那就选择理财产品或公募基金。三、退休后可以多拿多少退休金？这个还真不好说，跟个人年龄、领取年龄、存入金额、选择的具体产品均有关系。但大致会有个谱——选择银行储蓄，利率大概率会越来越低，未来也极有可能长期在低位徘徊；选择理财产品，要看资金投向何处，风险管控如何，未来净值多少，一切都是未知数；选择公募基金，根据养老基金的风格，大概率在收益上不会比其他公募基金更高，暂无历史数据，只能这么推测选择保险产品，目前我在某银行APP上看到的产品分为两类，一种是稳健型，一种是积极型；前者保证有2.5%，后者保证0.5%，还有一部分是不确定的浮动收益，大体上跟某宝上的差不多所以就个人来讲——如果我要追求安全上的确定收益，我会宁愿选择收益更友好的商业养老年金险，未来能领多少写入合同保证，一目了然如果我更偏向收益，我会宁愿自己在某天基金APP上挑选我看好的基金组合，长期定投。根据个人以往14年以来的基金定投经验，坚持下来的收益很香~自主可控，且兼顾灵活，T+3即可赎回。事实上，本人做的是以上两种组合：【商业养老年金险】保证终身有确定的现金流收益+【公募基金长期定投】获取更高收益功能明确，思路清晰不过，这两种都无法提供避税功能。所以也是各花入各眼。本人已持和将要增持的心水商业养老年金产品都在表上了回到题主个人，如果没有足够的弹药和专业炒股能力，也不太懂如何选几支好的基金长期拿着，最省心的办法，1）老老实实买个人养老金吧2）找个专业靠谱的保险经纪人，根据你的实际情况，帮你选一款确定收益比较友好的商业养老年金保险。四、政策的背后是什么？国家推动养老第三支柱的大方向是不会变的。因为，在此之外，没有更好的办法解决养老问题我国的人口老龄化的严峻程度是前所未有、史无前例的，且远超全球任何一个国家。不信，请参考邻国日本现在的情况，有部纪录片《老后破产》可以看看仔细想想，国家为什么要延迟退休？为什么要推出个人养老金制度？为什么上限是12000/年？种种政策都透露出一个共同的、明确的信号——养老，得靠个人了！看透政策的背后，会更加清晰接下来我们应该做什么。对月薪不过万的普通打工族来说，无论是个人养老金还是商业养老金，总之，自己为自己规划储备养老金这件事，已然是刻不容缓，箭在弦上——发或不发，自己都要为自己承担将来的后果。我们，每个人，在社保之外，至少，至少都需要一份养老金。爬，或不爬，“养老”这座山都在那里爬，或不爬，养老这座山都在那里……,1.791992775
8a2df95ce2de7cb8b59fc6ceef837040,积分积不准,https://picx.zhimg.com/v2-314212adda49a75551f116591bc12ae7.jpg?source=1940ef5c,2022/12/7,男,people,FALSE,5620,8,1,我记得之前好像回答过类似的问题，我当时说的意思是，不要买。这不是他们第1次骗人了，不要不长记性。但是这么多天过去了，看了不少各大平台上关于个人养老金的讨论。尤其是知乎，清一色的唱衰的。所以我决定还是买吧，同时给出建议——有能力的能买一点还是一点，哪怕你月薪不到8k。毕竟，知乎反买，别墅靠海。,1.785405995
c14a27121520e1f3f73e0b0fb3059914,聪明投资者,https://pic1.zhimg.com/v2-e067bc0e1df31d4e54a323bdb299a816.jpg?source=1940ef5c,2022/12/8,女,people,FALSE,48257,0,0,最近个人养老金的消息铺天盖地，各位读者朋友肯定也收到了很多相关推送，或许还经受了「开户返现送鸡蛋、开户送马克杯、开户领微信立减金」的花式诱惑。与上一代老年人的“养儿防老”、“多子多福”、“退休靠国家”等观念不同，这届年轻人早就知道养老要自力更生。11月25日，个人养老金制度在北京、上海、广州等36个先行城市或地区启动实施。华夏基金、易方达基金、天弘基金等多家基金公司发布公告，宣布公司旗下纳入个人养老金投资名录的养老目标基金已于上个月开始开放Y类份额申购。聪投一直在跟踪个人养老金政策的落地，也注意到很多读者对个人养老金的讨论非常热烈，包括开户以及费率和税收优惠等。其中大家讨论最多、也是最疑惑的核心问题是：我到底要不要参与？如果参与，我要买什么？市面上那么多产品，我要选择哪家？正好聪投最近听了一场华夏内部交流，华夏基金养老金管理部总监孙博和华夏基金资产配置部总监许利明两人，围绕近期大家讨论比较多的养老政策，做了些解读。孙博还担任中国养老金融50人论坛副秘书长，在养老相关政策的把握和解读方面如数家珍。许利明24年的证券从业年限中，有8年的公募基金管理经验，此前还有多年企业年金管理经验，目前做养老目标基金，对公募基金和对养老属性非常熟悉。他自己就在管理养老FOF基金，而他管理的4只基金也都入选了首批个人养老金基金名录。听了这场内部访谈，聪投也是受益颇多。就着上面三个核心问题，也跟大家做个分享，帮大家把个人养老金捋透。优秀的资产配置产品，考量的是整体团队从需求挖掘，到产品设计，到多元资产配置，到风险控制，到基金经理筛选，到投后沟通等一系列流畅的运转。去年11月底，聪投跟担任华夏基金副总经理兼资产配置部负责人的孙彬有过一次专访，他就对以上问题进行了非常详实的解答。访谈原文点击查看《用FOF理念管理规模已达3000亿，华夏基金孙彬谈资产配置：要结硬寨，但不打“呆仗”》还有很多大家关心的个人养老金的问题，以问答形式附在文末。要不要参与？为什么大家都这么关注个人养老金的落地？我们自己到底要不要参与？先来看看我们当前面临的三个重要指标：1、65岁以上老年人口比率按世卫组织的定义，65岁以上老年人口比率超过7%的社会即为老龄化社会、达14%为老龄社会、达20%为超老龄社会。2021年我国正式步入老龄社会。随着平均寿命的不断提升，据经合组织（OECD）预测，中国将于2035年步入超老龄社会，2045年中国65岁以上人口占比将达到25%。超65岁的老年人口比例越来越大。数据来源：国家统计局、华夏基金、中信证券、Wind等，2022年人口老龄化加速，抚养比持续提升，养老逐渐成为社会的沉重负担。按照2019年社科院发布的《中国养老金精算报告2019-2050》，在保留现在财政补贴机制的情况下，2028年养老金当期收支出现缺口，累计结余到2027年将到达顶点，到2035年累计结余将耗尽。而且，受疫情影响，2020年，中国社保基本养老保险基金支出近十年首次超过收入，养老金结余消耗进程加快。2、我国养老金替代率养老金替代率是衡量退休生活水平的重要指标，指的是“退休时的养老金领取水平”与“退休前工资收入水平”之间的比率。计算公式为：养老金替代率=退休时的养老金/退休前工资收入*100%。比如你月薪2万，退休后养老金每月1万，那你的养老金替代率=1万/2万*100%=50%。根据世界银行组织建议，要维持退休前的生活水平不下降，养老金替代率要大于70%；如果达到60%-70%，即可维持基本生活水平；低于50%则生活水平较退休前会有大幅下降。根据国际劳工组织发布的《社会保障最低标准公约》，55%是养老金替代率的警戒线。如图，从2007年以来，我们的基本养老金替代率都低于50%，低于国际劳工组织数据警戒线，且呈现不断下降趋势。当然，这里计算的只是基本养老金的替代率，我国每年还会对基本养老金进行上万亿规模的财政补贴，除此之外还有3万亿规模的全国社保基金，将来如果出现养老金不足，可做调剂补充。因此动态计算的真实替代率将比这个稍高，但仍有必要尽早建设第三支柱。3、我们现有的养老金资产积累目前主要发达国家都采用国际主流的三大支柱养老体系，比如美英德日，不同国家依据自己的实际情况和养老金制度的发展速度，三大支柱占比不同。同样，我国的养老体系由第一二三支柱和储备支柱全国社保基金共同构成：我国养老金体系基本架构国家帮你养老（强制）：两端的第一支柱和储备支柱运行平稳，基本养老保险已实现全覆盖；企业帮你养老（强制）：第二支柱由企业年金+职业年金共同组成，发展快但覆盖率低。截至2021年底，全国企业年金规模2.64万亿元，建立企业约11.75万个，参与职工约2875万人；而职业年金参保人数4300万，积累基金1.86万亿。两者加起来仍不到全部基本养老保险参保人数的10%个人自己养老（自愿）：关键就是第三支柱。先来看看养老金系统成型较早的美国：数据来源于ICI、Social Security、人社部等，截至2021年末从上图对比中清晰可见：中度老龄化：2021年，中国达到中度老龄化，对应的基本养老金占GDP7.74%。1994年，日本达到中度老龄化，对应的基本养老金占GDP18.6%。2013年，美国达到中度老龄化，对应的基本养老金占GDP81.4%。按照目前的数据推算：2023年，中国达到重度老龄化，基本养老金占GDP不到10%。2005年，日本达到重度老龄化，基本养老金占GDP是21.9%。2028年，美国达到重度老龄化，基本养老金占GDP是240%。也就是说，在同等老龄化水平下，我们的养老金积累极其不足。美国养老金体系结构数据来源：ICI年报，全国社会保障基金理事会，截至2021.12.31美国以二、三支柱构成的补充养老金为主，劳动者通过第一支柱公共养老和二三支柱补充养老金，退休后能达到较高的替代率水平。数据来源于ICI、Social Security、人社部等，截至2021年末总量上，美国三支柱养老金储备规模巨大，合计占GDP比重超180%，而我国仅占9%左右，即便加上全国社保基金也差不多仅占GDP11%左右。结构上，美国养老金主要依靠二三支柱，占比超90%；而我国二三支柱占比仅有41%，主要靠政府兜底的第一支柱。所以，个人养老金是“应运而生”。要实现我们个人退休后的体面养老水平，我们急需发展第三支柱。要不要参与，答案非常明显。不过从从税收优惠角度而言，参与人群要注意一点：因为个人养老金采用的是递延纳税，也就是投资时不纳税，领取时按优惠费率3%纳税，因为个税是5000元的起征点，年收入6万以下的人本来就免征个人所得税，缴存个人养老金后再提取时还要缴纳3%的个税，参与意义不大；年收入在6万-9.6万之间的人，个人所得税和个人养老金缴存后都是3%税率，没啥差别，目前的税收优惠吸引力不大；年收入在9.6万以上的人群，个人所得税税率在10%以上，但是你存到个人养老金账户，只需要3%税率，而且收入越高节税效果越明显。附一张图浅看下你自己在哪个区间：当然每年最多只能向养老金账户里存1.2万元。对标美国的IRA（个人退休账户）的缴费上限从2022年的6000刀上涨到2023年的6500刀。业内人士推测，1.2万的额度未来有可能进一步放开。如果参与，我要买什么？我们只能选一家银行，开唯一一个个人养老金账户。这就决定了各大银行必须使出浑身解数来争夺客源，就出现了开头提到的花式诱惑。到底选择哪家银行其实区别不大，但因为个人养老金能买的产品就是储蓄存款、理财产品、商业养老保险、公募基金这四大类金融产品，所以大银行的代销范围会更大，供我们选择的空间更大。所以建议还是不要被小优惠蒙蔽，伴随一生的养老账户，最好选择你比较熟悉的几个国有或者股份制大行。开好账户以后，就要思考到,1.779298824
d0d9d444d1dacf436c26d11d2c61362f,韦二伯格,https://pic1.zhimg.com/1a4dab9d90aaefeba19a0433006b3bd1.jpg?source=1940ef5c,2022/11/6,男,people,FALSE,12244,6,2,有没有一种可能，年轻的时候可以把钱存银行，老了每个月拿出来点用？,1.779079416
a6ed88e6dc78560e2d8ebc795183d5fe,不知道,https://picx.zhimg.com/v2-abed1a8c04700ba7d72b45195223e0ff.jpg?source=1940ef5c,2022/12/10,未知,people,FALSE,94,9,1,这是一次对国家信任度的民意调查，简称“投名状”。有没可能会在体制内暗暗地搞指标？,1.776544303
c8e607d3e49b4ef412c989670dc84dcb,willing,https://picx.zhimg.com/v2-03b42d62450ffcb05428b958512bea22.jpg?source=1940ef5c,2022/12/9,未知,people,FALSE,1,9,1,怕就怕，这养老金存了，最后也花不到自己身上……,1.7749693
6c57581e33177798c0881868fa46102d,51社保,https://picx.zhimg.com/v2-bb36a84f67cdfdf534de461e6bb7ab3e.jpg?source=1940ef5c,2022/11/7,未知,people,TRUE,36882,1,2,参加人身故的，不光是「个人养老金资金账户内」的资产可以继承，就是你平时缴的养老保险的个人缴费部分，都可以继承。相信有很多人还不知道个人养老金是什么？也简单科普一下。“个人养老金制度”简单来说，就是政府鼓励个人将工资一部分存入个人养老金账户，这个账户里的金额，可以根据自身风险收益特征，选择一些符合条件的养老金融产品进行投资，积累养老金资产。有点类似买商业养老保险，但具体要不要买还是看个人意愿，另外并不影响现在交的养老保险待遇。第一支柱：基本养老保险；第二支柱: 企业年金和职业年金；第三支柱：个人储蓄型养老保险和商业养老保险。现在人社部拟采取“养老金个人账户制”等改革，就是要从我们的第三支柱入手。所谓账户制就是指为每一个加入第三支柱的人建立一个养老金账户。这一账户不仅记载个人的基本信息、资产信息，也是一个进行个人养老金资产配置的载体。参加人根据自己的风险承受能力、对金融产品的认知，结合未来养老金积累的目标，来选择适合自己的投资产品，构建自己的养老金投资组合。未来个人账户里的养老金以后会有个选项，可以选择储蓄存款、银行理财、商业养老保险、公募基金这些投资渠道（待定）。举个例子如果我选择了公募基金，那么我养老金个人账户里的钱就会划分到公募基金投资池里，用于基金投资获取更高的收益。不愿意承担风险，则可以选择储蓄存款。也就是说以后退休后养老金的多少不仅仅取决于每月交的养老金有多少，还跟自己授权选择的投资渠道收益有关系。1、养老资产回报率得以提高实行个人养老金制度后，个人可以在每次领取工资后把一部分钱转入到养老账户中，由官方认可的专业机构进行投资管理，提高回报率。由于养老金账户有很长的锁定期，可以对里面的资金进行长期的管理，在一定程度上，回报率会更高。当然，存到个人养老账户的这笔钱肯定是要等到退休后才能领取，这也意味着前期到手工资会有所减少（类似强制储蓄）。所以选择建立养老金个人账户的，肯定是经济条件相对宽裕的人群。如果本身收入不高，单纯依靠购买的基本养老保险其实也能满足退休后基本生活需要。2.个人养老金制度可以享受税收优惠如果在个税起征线以上的人，是可以考虑购买的。毕竟存钱就可以免税，并且这笔钱还是你的，只是限制了领取时间，可以看成定期。对自己本身就有储蓄存款、银行理财、商业养老保险、公募基金等理财行为的人，选择这个制度，享受税收优惠，有一定诱惑力。（1）用人单位遇到非人力所能抗收入没有达到个税起付线，缴费有压力的情况下，可以不投，钱要用在刀刃上。（2）收入在个税起付线以上，而且通过专项附加扣除还是不能抵完税，缴存一部分个人养老金是很有必要的，看成能抵税、收益率更高的定期就行。（3）收入特别高的人，如果不在乎个税抵扣的钱，而且收入都特别高了，储蓄、理财各种搭配估计也挺齐全，也可以不投。这次的税收优惠力度还是蛮大的，因为3%相当于是工资范围在5000至8000元的个税税率。个人养老金制度需要不断探索、完善的过程，税收的优惠力度如何也是近段时间学界和业界关注度最高的一个方面，对领取收入实际税负的大幅降低，对个人养老金的发展首先会是一个很有力的激励。简单来说，既参加社保又参加了个人养老金制度的人，在将来达到退休年龄后，可以同时领取社保的退休金和个人养老金。参加个人养老金要开两个账户一是参加的条件比较简单。目前参加基本养老保险的在职人员不论是什么样的就业形态，即不论是单位就业人员还是灵活就业人员，不受就业地域、户籍限制，只要个人自愿都可以公平参加这个制度，跨省跨地域流动时，个人的权益都不受影响。二是参与的方式比较灵活。在参与程度上，参加人自主决定是全程参加还是部分年度参加，在缴费额和缴费方式上，起步阶段只要不超过年度缴费上限1.2万元，参加人可以自主决定缴多少，本年度内既可以一次性缴也可以分次缴。三是开户,1.772950348
